brand,model,cpu,gpu,gpu_memory,ram,storage,display_specs,battery,webcam,connections,weight,warranty,fingerprint,ssd_support,ram_gb,price_idr,screen_specs,laptop_type
Lenovo,LOQ 15IAX9E,Intel® Core™ i5-12450HX,Nvidia GeForce RTX 3050 6GB,6GB GDDR6,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz",Integrated 57Wh,HD 720p with Privacy Shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 5Gbps / USB 3.2 Gen 1), data transfer only 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Card reader 1x Power connector",1.77 kg,2 Years,,Unknown,1.0,16694358,"1920 x 1080, 144 Hz",Gaming / Creator
HP,Victus 16-r1066ne,Intel® Core™ i5-14450HX,NVIDIA® GeForce RTX™ 3050,6 GB GDDR6,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16.1″diagonal, FHD , 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.31 kg,1 Year,,Unknown,16.0,20694347,"1920 x 1080, 144 Hz",Gaming / Creator
HP,Victus 16-r1062ne,Intel® Core™ i5-14450HX,NVIDIA® GeForce RTX™ 3050,6 GB GDDR6,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16.1″ diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.31 kg,1 Year,,Unknown,16.0,20694347,"1920 x 1080), 144 Hz",Gaming / Creator
HP,Victus 15-fa1103ne,Intel® Core™ i5-13420H,NVIDIA® GeForce RTX™ 3050,6 GB GDDR6,8 GB DDR4-3200 MT/s (1 x 8 GB) Transfer rates up to 3200 MT/s. 1 x 8 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,"15.6″ FHD (1920 × 1080), IPS, 144 Hz, 9 ms, anti-glare, 250 nits, 45% NTSC","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.29 kg,1 Year,,Unknown,8.0,17737788,"1920 x 1080, 144 Hz",Gaming / Creator
HP,VICTUS 15-FA1112NIA,Intel® Core™ i5-13420H,NVIDIA® GeForce RTX™ 3050,6 GB GDDR6,8 GB DDR4-3200 MT/s (1 x 8 GB) Transfer rates up to 3200 MT/s. 1 x 8 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,"15.6″ FHD (1920×1080), IPS, 144 Hz, 250 nits, 45% NTSC, anti-glare","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.29 kg,1 Year,,Unknown,8.0,17737788,"1920 x 1080, 144 Hz",Gaming / Creator
HP,OMEN Slim 16-an0119nrav,Intel® Core™ Ultra 9 285H,NVIDIA® GeForce RTX™ 5070,8 GB GDDR7,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16"" diagonal WQXGA display","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 10Gbps signaling rate; 2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45; 1 USB Type-C® 10Gbps signaling rate (USB Power Delivery 3.0, DisplayPort™ 1.4, HP Sleep and Charge)",2.42 kg,1 Year,,Unknown,16.0,42797620,"2560 x 1600, 240Hz",Gaming / Creator
HP,OMEN 16-AP0097NR,AMD Ryzen™ AI 9 365,NVIDIA® GeForce RTX™ 5070,8 GB GDDR7,32 GB DDR5-5600 MT/s (2 x 16 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16"" diagonal, WQXGA , 60-240 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 500 nits, 100% sRGB","6-cell, 83 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 10Gbps signaling rate; 2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45; 1 USB Type-C® 10Gbps signaling rate (USB Power Delivery 3.0, DisplayPort™ 1.4, HP Sleep and Charge)[19,42]",2.44kg,1 Year,,Unknown,32.0,41997657,"2560 x 1600, 240Hz",Gaming / Creator
Lenovo,Legion 5 15IRX10,Intel® Core i9-14900HX,NVIDIA® GeForce RTX™ 5070,8GB GDDR7,1x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.1"" WQXGA OLED 1000nits (peak) / 500nits (typical) glossy, 100% DCI-P3, 165Hz, Dolby Vision®, DisplayHDR™ True Black 600",80Wh,5.0MP with E-shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 65-100W and DisplayPort™ 2.1 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz",1.9 kg,1 Year,,Unknown,1.0,43197602,"2560x1600, 165 HZ",Gaming / Creator
ASUS,ROG Zephyrus G16 GA605KP-AI327W,AMD Ryzen™ AI 7 350,NVIDIA® GeForce RTX™ 5070 Laptop GPU,8GB GDDR7,32GB LPDDR5X 7500 on board(Actual memory speeds may vary by CPU configuration.),1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch 2.5K , WQXGA) 16:10 aspect ratio","90WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed up to 40Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery (data speed up to 10Gbps) 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x card reader (SD,1.85 Kg,1 year,,Unknown,32.0,42078053,"2560 x 1600, 240Hz",Gaming / Creator
Lenovo,Legion Pro 7 16IAX10H,Intel® Core Ultra 9 275HX,NVIDIA® GeForce RTX™ 5080,16GB GDDR7,2x 32GB CSODIMM DDR5-6400,2x 1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA OLED 500nits (Typical) / 1100nits (Peak) Glossy, 100% DCI-P3, 240Hz, DisplayHDR™ True Black 1000, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance, Flicker Free",99.9Wh,5.0MP with E-shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 10Gbps / USB 3.2 Gen 2), Always On 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 65-100W and DisplayPort™ 2.1 1x Thunderbolt™ 4 / USB4® 40Gbps (support data transfer and DisplayPort™ 2.1) 1x HDMI® 2",2.57 kg,1 Year,,Unknown,2.0,81996207,"2560x1600, 240 HZ",Gaming / Creator
HP,Victus 16-r1046ne,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4050,6 GB GDDR6,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16.1″ diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.33 kg,1 Year,,Unknown,16.0,24415809,"1920 x 1080, 144 Hz",Gaming / Creator
ASUS,ROG Strix G16 G614PR-RV161W,AMD Ryzen™ 9 8940HX,NVIDIA® GeForce RTX™ 5070 Ti,12GB GDDR7,16GB DDR5-5200 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) IPS-level anti-glare display sRGB: 100% Refresh Rate: 165Hz Response Time: 3ms G-Sync","90WHrs, 4S1P, 4-cell Li-ion",1080p FHD camera,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x Type-C USB 4 with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 40Gbps) 1x Type-C USB 4 with support for DisplayPort™ / G-SYNC (data spee,2.50 Kg,سنه,,Unknown,16.0,43717977,"1920 x 1200, 165 HZ",Gaming / Creator
ASUS,ROG Strix G16 G614FP-GR169W,AMD Ryzen 9 9955HX,NVIDIA® GeForce RTX™ 5070,8GB GDDR7,16GB DDR5-5600 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) 165Hz, 3ms IPS-level 300nits 100% SRGB","90WHrs, 4S1P, 4-cell Li-ion",1080p FHD camera,1x RJ45 LAN port 1x Type-C USB 4 with support for DisplayPort™ (data speed up to 40Gbps) 1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed up to 40Gbps) 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps),2.50 Kg,1 Year,,Unknown,16.0,40798113,"1920 x 1200, 165 HZ",Gaming / Creator
ASUS,TUF Gaming A16 FA608UH-RV007W,AMD Ryzen™ 7 260,NVIDIA® GeForce RTX™ 5050,8GB GDDR7,16GB DDR5-5600 SO-DIMM,512GB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch, FHD+ 16:10 , WUXGA), IPS-level, Anti-glare display, sRGB:100%, Adobe:75.35%, Refresh Rate:165Hz, Response Time:3ms, G-Sync, MUX Switch","90WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 10Gbps) 1x USB 2.0 Type-A (data speed up to 480Mbps) 1x Type-C US,2.20 Kg,1 Year,,Unknown,16.0,25410546,"1920 x 1200, 165 HZ",Gaming / Creator
ASUS,TUF Gaming A14 FA401KH-RG019W,AMD Ryzen™ AI 7 350,NVIDIA® GeForce RTX™ 5050,8GB GDDR7,"16GB*2 LPDDR5X 7500 on board, Max Capacity",1TB PCIe® 4.0 NVMe™ M.2 SSD,"14-inch, 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio, IPS-level, Anti-glare display","73WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / G-SYNC (data speed up to 10Gbps) 1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed,1.46 Kg,1 Year,,Unknown,16.0,30293798,"2560 x 1600, 165 HZ",Gaming / Creator
ASUS,TUF Gaming A14 FA401UU-RG028W,AMD Ryzen 7 8845HS,NVIDIA® GeForce RTX™ 4050 6GB,6GB GDDR6,16GB 8GB*2 LPDDR5X 7500 on board,512GB PCIe® 4.0 NVMe™ M.2 SSD,"14-inch, 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio, IPS-level, Anti-glare display, sRGB:100.00%, Refresh Rate:165Hz, G-Sync, MUX Switch + NVIDIA® Advanced Optimus","73WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ (data speed up to 10Gbps) 1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed up to 40,1.46 Kg,1 Year,,Unknown,16.0,22104855,"2560 x 1600, 165 HZ",Gaming / Creator
MSI,Crosshair 18 HX AI A2XWGKG,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5070 8GB,8GB GDDR7,32GB,1TB SSD,"18” QHD+ (2560x1600), 240Hz, IPS-Level",4-Cell 90 Battery (Whr),HD type (30fps@720p) 3D Noise Reduction (3DNR),1x Thunderbolt™ 4 (DisplayPort™/ Power Delivery 3.0) 3x Type-A USB3.2 Gen1 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),3.1 kg,2 Years,,Unknown,32.0,37997842,"2560x1600, 240 HZ",Gaming / Creator
MSI,Vector 17 HX AI A2XWJG,Intel Core Ultra 9 275HX,NVIDIA® GeForce RTX™ 5090 24GB,24GB GDDR7,32GB DDR5-6400,1TB SSD,"17” QHD+ (2560x1600), 240Hz, IPS-Level",4-Cell 90 Battery (Whr),IR FHD type (30fps@1080p) with HDR 3D Noise Reduction+ (3DNR+),2x Thunderbolt™ 5 (DisplayPort™/ Power Delivery 3.1) 2x Type-A USB3.2 Gen2 1x SD Express Card Reader 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),3 kg,2 years,,Unknown,32.0,91330575,"2560x1600, 240 HZ",Gaming / Creator
MSI,Raider 18 HX AI A2XWJG,Intel Core Ultra 9 285HX,Nvidia GeForce RTX 5090 24GB,24GB GDDR7,64GB DDR5 6400MHz 32GB*2,2TB NVMe PCIe Gen5x4 SSD,"18” UHD+, MiniLED, 120Hz",4-Cell 99 Battery (Whr),IR FHD type (30fps@1080p) with HDR 3D Noise Reduction+ (3DNR+),2x Thunderbolt™ 5 (DisplayPort™/ Power Delivery 3.1) 3x Type-A USB3.2 Gen2 1x SD Express Card Reader,3.6 kg,2 years,,Unknown,64.0,99994975,"3840 x 2400, 120 Hz",Gaming / Creator
Acer,Aspire 5 A515-57G-59VY,Intel Core i5-1235U,Nvidia GeForce RTX 2050 4GB,,8GB DDR4 SDRAM,512GB PCIe NVMe SSD,"15.6-inch Full HD (1920×1080) IPS, ComfyView (Matte), 16:9 aspect ratio","3-cell Li-Ion, 50Wh",HD webcam,3 × USB Type-A 3.2 Gen 1 1 × USB Type-C 3.2 Gen 1 1 × HDMI 1 × Headphone/Microphone Combo Jack (3.5mm) 1 × RJ-45 (Ethernet Port),1.8 kg,1 Year,,Unknown,8.0,13929268,1920x1080,Gaming / Creator
HP,Victus 15-FA1023NIA,Intel Core i5-13500H,Nvidia GeForce RTX 3050 6GB,6GB GDDR6 dedicated,8 GB DDR4-3200 MT/s (1 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,"39.6 cm (15.6"") diagonal, FHD, 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.29 kg,1 Year,,Unknown,8.0,18259503,"1920 x 1080, 144 Hz",Gaming / Creator
MSI,Thin 15 B2RVE,Intel Core 7 240H,Nvidia GeForce RTX 4050 6GB,6GB GDDR6,16GB 2x 8GB,512GB M.2 SSD NVMe PCIe Gen4,"15.6"" FHD (1920x1080), 144Hz, IPS-Level",3-Cell 52.4 Battery (Whr),HD type (30fps@720p),1x Type-C (USB3.2 Gen1 / DisplayPort™) 3x Type-A USB3.2 Gen1 1x HDMI™ (4K @ 30Hz),1.86 kg,2 Years,,Unknown,16.0,21911508,"1920 x 1080, 144 Hz",Gaming / Creator
MSI,Katana 15 HX B14WFK,Intel® Core™ i7-14650HX,NVIDIA® GeForce RTX™ 5060 Laptop GPU,GDDR7 8GB,DDR5 8GB*2,512GB NVMe PCIe SSD Gen4x4 w/o DRAM,"15.6"" QHD (2560*1440), 165Hz DCI-P3 100% typical","4 cell, 75Whr",HD type (30fps@720p),1x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0) 3x Type-A USB3.2 Gen2 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),2.4 kg,2 Years,,Unknown,5.0,28033033,2560*1440,Gaming / Creator
MSI,Katana 15 HX B14WFK,Intel® Core™ i9-14900HX,NVIDIA® GeForce RTX™ 5060,8GB GDDR7,16GB 8GB*2 DDR5,1TB NVMe PCIe SSD Gen4x4,"15.6"" QHD, 165Hz DCI-P3 100% typical","4 cell, 75Whr",HD type (30fps@720p),1x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0) 3x Type-A USB3.2 Gen2 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),2.4 kg,2 Years,,Unknown,16.0,31650257,"2560*1440, 165 HZ",Gaming / Creator
Lenovo,LOQ 15ARP9,AMD Ryzen™ 7 7435HS,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,6GB GDDR6,12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",60Wh,HD 720p with E-Shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",2.38 kg,1 Year,,Unknown,12.0,20868078,"1920x1080, 144 Hz",Gaming / Creator
